ICD CODE,DESCRIPTION
R0989,other specified symptoms and signs involving the respiratory system
M8940,"other hypertrophic osteoarthropathy, multiple sites"
L440,pityriasis rubra pilaris
E1441,unspecified diabetes mellitus with diabetic mononeuropathy
M2419,"other articular cartilage disorders, site unspecified"
M2566,"stiffness of joint, not elsewhere classified, lower leg"
K720,acute and subacute hepatic failure
K754,autoimmune hepatitis
M140,gouty arthropathy due to enzyme defects and other inherited disorders
M4697,"unspecified inflammatory spondylopathy, lumbosacral region"
N492,inflammatory disorders of scrotum
R740,elevation of levels of transaminase and lactic acid dehydrogenase [ldh]
S5188,open wound of other parts of forearm
T2100,"burn of unspecified thickness of trunk, unspecified site"
M5417,"radiculopathy, lumbosacral region"
M6593,"unspecified synovitis and tenosynovitis, forearm"
N343,"urethral syndrome, unspecified"
E139,other specified diabetes mellitus without complication
I862,pelvic varices
M508,other cervical disc disorders
M8399,"unspecified adult osteomalacia, site unspecified"
M0694,"rheumatoid arthritis, unspecified, hand"
E058,other thyrotoxicosis
I159,"secondary hypertension, unspecified"
J358,other chronic diseases of tonsils and adenoids
N942,vaginismus
E054,thyrotoxicosis factitia
M4502,"ankylosing spondylitis, cervical region"
I469,"cardiac arrest, unspecified"
S6311,dislocation of metacarpophalangeal (joint)
N391,"persistent proteinuria, unspecified"
I059,"mitral valve disease, unspecified"
M7915,"myalgia, pelvic region and thigh"
E1401,"unspecified diabetes mellitus with hyperosmolarity, without nonketotic hyperglycaemic-hyperosmolar coma [nkhhc]"
S700,contusion of hip
M7901,"rheumatism, unspecified, shoulder region"
G589,"mononeuropathy, unspecified"
M8698,"unspecified osteomyelitis, other site"
M9429,"chondromalacia, site unspecified"
M8699,"unspecified osteomyelitis, site unspecified"
G909,"disorder of autonomic nervous system, unspecified"
G320,subacute combined degeneration of spinal cord in diseases classified elsewhere
G8226,"paraplegia, unspecified, incomplete, chronic"
S2240,"multiple rib fractures, unspecified"
M150,primary generalised (osteo)arthrosis
M1393,"arthritis, unspecified, forearm"
A568,sexually transmitted chlamydial infection of other sites
B20,human immunodeficiency virus [hiv] disease resulting in infectious and parasitic diseases
M2322,derangement of posterior horn of medial meniscus due to old tear or injury
H441,other endophthalmitis
I250,"atherosclerotic cardiovascular disease, so described"
N738,other specified female pelvic inflammatory diseases
M5490,"unspecified dorsalgia, multiple sites in spine"
H819,"disorder of vestibular function, unspecified"
B951,"streptococcus, group b, as the cause of diseases classified to other chapters"
M2516,"fistula of joint, lower leg"
M8390,"unspecified adult osteomalacia, multiple sites"
E713,disorders of fatty-acid metabolism
M2340,"loose body in knee, multiple sites"
T2221,"partial thickness [blisters, epidermal loss] burn of forearm and elbow"
B49,unspecified mycosis
M775,other enthesopathy of foot
G563,lesion of radial nerve
M7963,"pain in limb, forearm"
M8588,"other specified disorders of bone density and structure, other site"
S819,"open wound of lower leg, part unspecified"
M2427,"disorder of ligament, ankle and foot"
M7927,"neuralgia and neuritis, unspecified, ankle and foot"
M8436,"stress fracture, not elsewhere classified, lower leg"
K049,other and unspecified diseases of pulp and periapical tissues
G579,"mononeuropathy of lower limb, unspecified"
M1909,"primary arthrosis of other joints, site unspecified"
R935,"abnormal findings on diagnostic imaging of other abdominal regions, including retroperitoneum"
G578,other mononeuropathies of lower limb
J410,simple chronic bronchitis
I099,"rheumatic heart disease, unspecified"
M6241,"contracture of muscle, shoulder region"
M0684,"other specified rheumatoid arthritis, hand"
N319,"neuromuscular dysfunction of bladder, unspecified"
R33,retention of urine
H900,"conductive hearing loss, bilateral"
M2336,other derangements of other and unspecified lateral meniscus
M2396,unspecified internal derangement of other and unspecified lateral meniscus
M2380,"other internal derangements of knee, multiple sites"
A064,amoebic liver abscess
S820,fracture of patella
M2569,"stiffness of joint, not elsewhere classified, site unspecified"
K2971,"gastritis, unspecified, with haemorrhage"
L449,"papulosquamous disorder, unspecified"
J014,acute pansinusitis
R208,other and unspecified disturbances of skin sensation
R632,polyphagia
R390,extravasation of urine
R682,"dry mouth, unspecified"
M6283,"other specified disorders of muscle, forearm"
M6801,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, shoulder region"
D721,eosinophilia
K2991,"gastroduodenitis, unspecified, with haemorrhage"
D103,benign neoplasm of other and unspecified parts of mouth
M1319,"monoarthritis, not elsewhere classified, site unspecified"
L899,"decubitus ulcer and pressure area, unspecified"
M1049,"other secondary gout, site unspecified"
Z042,examination and observation following work accident
T111,"open wound of upper limb, level unspecified"
L851,acquired keratosis [keratoderma] palmaris et plantaris
N489,"disorder of penis, unspecified"
K605,anorectal fistula
T503,"poisoning by electrolytic, caloric and water-balance agents"
G553,"nerve root and plexus compressions in other dorsopathies (m45-m46+, m48.-+, m53-m54+)"
T148,other injuries of unspecified body region
T2103,burn of unspecified thickness of abdominal wall
M5400,"panniculitis affecting regions of neck and back, multiple sites in spine"
S8340,sprain and strain of unspecified collateral ligament
S3081,"other superficial injuries of abdomen, lower back and pelvis, abrasion"
M500,cervical disc disorder with myelopathy
K909,"intestinal malabsorption, unspecified"
D500,iron deficiency anaemia secondary to blood loss (chronic)
K739,"chronic hepatitis, unspecified"
B374,candidiasis of other urogenital sites
R748,abnormal levels of other serum enzymes
S998,other specified injuries of ankle and foot
S023,fracture of orbital floor
S312,open wound of penis
G633,"polyneuropathy in endocrine and metabolic diseases (e00-e07+, e15-e16+, e20-e34+, e70-e89+)"
M6747,"ganglion, ankle and foot"
E1114,"type 2 diabetes mellitus with lactic acidosis, with coma"
R262,"difficulty in walking, not elsewhere classified"
H187,other corneal deformities
R498,other and unspecified voice disturbances
H158,other disorders of sclera
S390,"injury of muscle and tendon of abdomen, lower back and pelvis"
I240,coronary thrombosis not resulting in myocardial infarction
S399,"unspecified injury of abdomen, lower back and pelvis"
S0151,open wound of lip
S579,"crushing injury of forearm, part unspecified"
S978,crushing injury of other parts of ankle and foot
S8081,abrasion of lower leg
E358,disorders of other endocrine glands in diseases classified elsewhere
I119,hypertensive heart disease without (congestive) heart failure
S878,crushing injury of other and unspecified parts of lower leg
F524,premature ejaculation
M174,"other secondary gonarthrosis, bilateral"
L023,"cutaneous abscess, furuncle and carbuncle of buttock"
M1311,"monoarthritis, not elsewhere classified, shoulder region"
R611,generalised hyperhidrosis
B368,other specified superficial mycoses
E1002,type 1 diabetes mellitus with hyperosmolarity with coma
K750,abscess of liver
M4793,"unspecified spondylosis, cervicothoracic region"
H922,otorrhagia
L929,"granulomatous disorder of skin and subcutaneous tissue, unspecified"
H624,otitis externa in other diseases classified elsewhere
M6802,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, upper arm"
S607,multiple superficial injuries of wrist and hand
Z833,family history of diabetes mellitus
S225,flail chest
M0737,"other psoriatic arthropathies, ankle and foot (l40.5+)"
X102,contact with hot fat and cooking oil
I254,coronary artery aneurysm
T2112,"erythema of chest wall, excluding breast and nipple thorax [external]"
M353,polymyalgia rheumatica
H731,chronic myringitis
H921,otorrhoea
H601,cellulitis of external ear
S599,unspecified injury of forearm
S5310,"dislocation of elbow, unspecified"
A881,epidemic vertigo
M7925,"neuralgia and neuritis, unspecified, pelvic region and thigh"
M7924,"neuralgia and neuritis, unspecified, hand"
B820,"intestinal helminthiasis, unspecified"
B888,other specified infestations
T149,"injury, unspecified"
A549,"gonococcal infection, unspecified"
N228,calculus of urinary tract in other diseases classified elsewhere
S499,unspecified injury of shoulder and upper arm
K2931,"chronic superficial gastritis, with haemorrhage"
T303,"burn of full thickness, body region unspecified"
R799,"abnormal finding of blood chemistry, unspecified"
U594,tennis
E1111,"type 2 diabetes mellitus with ketoacidosis, without coma"
I891,lymphangitis
B028,zoster with other complications
J3800,"paralysis of vocal cords and larynx, unspecified"
M154,erosive (osteo)arthrosis
E138,other specified diabetes mellitus with unspecified complication
M0693,"rheumatoid arthritis, unspecified, forearm"
M6803,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, forearm"
E832,disorders of zinc metabolism
M143,lipoid dermatoarthritis (e78.8+)
M7109,"abscess of bursa, site unspecified"
M7389,"other soft tissue disorders in diseases classified elsewhere, site unspecified"
M6589,"other synovitis and tenosynovitis, site unspecified"
M1384,"other specified arthritis, hand"
M6508,"abscess of tendon sheath, other site"
S6310,"dislocation of finger, part unspecified"
M5327,"spinal instabilities, lumbosacral region"
M4819,"ankylosing hyperostosis [forestier], site unspecified"
A498,other bacterial infections of unspecified site
G250,essential tremor
J200,acute bronchitis due to mycoplasma pneumoniae
J448,other specified chronic obstructive pulmonary disease
M7998,"unspecified soft tissue disorder, other site"
M4389,"other specified deforming dorsopathies, site unspecified"
R398,other and unspecified symptoms and signs involving the urinary system
H042,epiphora
L011,impetiginisation of other dermatoses
M321,systemic lupus erythematosus with organ or system involvement
M350,sicca syndrome [sjogren]
M8109,"postmenopausal osteoporosis, site unspecified"
G576,lesion of plantar nerve
E1339,other specified diabetes mellitus with other specified ophthalmic complication
E876,hypokalaemia
M6501,"abscess of tendon sheath, shoulder region"
M0585,"other seropositive rheumatoid arthritis, pelvic region and thigh"
M0588,"other seropositive rheumatoid arthritis, other site"
E0921,impaired glucose regulation with incipient nephropathy
M2304,cystic anterior horn of lateral meniscus
M2364,other spontaneous disruption of lateral collateral ligament
M2548,"effusion of joint, other site"
D280,benign neoplasm of vulva
B020,zoster encephalitis
M0711,"arthritis mutilans, shoulder region (l40.5+)"
G249,"dystonia, unspecified"
S020,fracture of vault of skull
S069,"intracranial injury, unspecified"
S128,fracture of other parts of neck
G438,other migraine
Z108,routine general health check-up of other defined subpopulations
G248,other dystonia
H545,"severe visual impairment, monocular "
M0644,"inflammatory polyarthropathy, hand"
S437,sprain and strain of other and unspecified parts of shoulder girdle
D63,anaemia in chronic diseases classified elsewhere
P081,other heavy for gestational age infants
O239,other and unspecified genitourinary tract infection in pregnancy
N370,urethritis in diseases classified elsewhere
M4123,"other idiopathic scoliosis, cervicothoracic region"
D300,benign neoplasm of kidney
S0601,loss of consciousness of unspecified duration
M702,olecranon bursitis
H408,other glaucoma
S510,open wound of elbow
S519,"open wound of forearm, part unspecified"
J989,"respiratory disorder, unspecified"
S7318,sprain and strain of other specified sites of hip
M6790,"unspecified disorder of synovium and tendon, multiple sites"
O9260,"galactorrhoea, without mention of attachment difficulty"
M221,recurrent subluxation of patella
M0909,"juvenile arthritis in psoriasis, site unspecified (l40.5+)"
S0008,"superficial injury of scalp, other"
D090,carcinoma in situ of bladder
J338,other polyp of sinus
D233,other benign neoplasms of skin of other and unspecified parts of face
S5081,abrasion of forearm
S8350,sprain and strain of unspecified cruciate ligament
G4000,"localisation-related (focal)(partial) idiopathic epilepsy and epileptic syndromes with seizures of localised onset, without mention of intractable epilepsy"
H918,other specified hearing loss
N029,"recurrent and persistent haematuria, unspecified"
M2598,"unspecified joint disorder, other site"
H932,other abnormal auditory perceptions
S3180,open wound of other and unspecified parts of abdomen
R191,abnormal bowel sounds
N914,secondary oligomenorrhoea
K270,"peptic ulcer, acute with haemorrhage"
M8586,"other specified disorders of bone density and structure, lower leg"
J100,"influenza with pneumonia, influenza virus identified"
R270,"ataxia, unspecified"
T1405,contusion of unspecified body region
S0181,open wound (of any part of head) communicating with a fracture
S5200,"fracture of upper end of ulna, part unspecified"
E209,"hypoparathyroidism, unspecified"
E283,primary ovarian failure
N761,subacute and chronic vaginitis
S1188,open wound of other parts of neck
M0608,"seronegative rheumatoid arthritis, other site"
M6250,"muscle wasting and atrophy, not elsewhere classified, multiple sites"
S8238,other fracture of lower end of tibia
M4105,"infantile idiopathic scoliosis, thoracolumbar region"
T135,"injury of unspecified muscle and tendon of lower limb, level unspecified"
E804,gilbert's syndrome
S5318,other dislocation of elbow
G630,polyneuropathy in infectious and parasitic diseases classified elsewhere
R522,other chronic pain
O104,"pre-existing secondary hypertension complicating pregnancy, childbirth and the puerperium"
S6351,sprain and strain of carpal (joint)
I319,"disease of pericardium, unspecified"
I803,"phlebitis and thrombophlebitis of lower extremities, unspecified"
H832,labyrinthine dysfunction
M7989,"other specified soft tissue disorders, site unspecified"
H043,acute and unspecified inflammation of lacrimal passages
D868,sarcoidosis of other and combined sites
K271,"peptic ulcer, acute with perforation"
M704,prepatellar bursitis
R260,ataxic gait
M7917,"myalgia, ankle and foot"
H178,other corneal scars and opacities
N210,calculus in bladder
M7959,"residual foreign body in soft tissue, site unspecified"
G4030,"generalised idiopathic epilepsy and epileptic syndromes, without mention of intractable epilepsy"
A081,acute gastroenteropathy due to norwalk agent
R0988,other specified symptoms and signs involving the circulatory system
H540,"blindness, binocular "
S4220,"fracture of upper end of humerus, part unspecified"
Z8618,personal history of other infectious and parasitic disease
N852,hypertrophy of uterus
N943,premenstrual tension syndrome
L730,acne keloid
M7921,"neuralgia and neuritis, unspecified, shoulder region"
O2494,"diabetes mellitus in pregnancy, unspecified onset, other"
G819,"hemiplegia, unspecified"
Z867,personal history of diseases of the circulatory system
S540,injury of ulnar nerve at forearm level
S092,traumatic rupture of ear drum
M2590,"unspecified joint disorder, multiple sites"
O2442,"diabetes mellitus arising in pregnancy, insulin treated"
M0807,"juvenile rheumatoid arthritis, ankle and foot"
K8011,"calculus of gallbladder with other cholecystitis, with obstruction"
M0809,"juvenile rheumatoid arthritis, site unspecified"
N62,hypertrophy of breast
K2961,"other gastritis, with haemorrhage"
T953,sequelae of burn and frostbite of lower limb
T252,"partial thickness [blisters, epidermal loss] burn of ankle and foot"
M1388,"other specified arthritis, other site"
S4223,fracture of anatomical neck of humerus
I493,ventricular premature depolarisation
K253,"gastric ulcer, acute without haemorrhage or perforation"
F072,postconcussional syndrome
I619,"intracerebral haemorrhage, unspecified"
S767,injury of multiple muscles and tendons at hip and thigh level
M4300,"spondylolysis, multiple sites in spine"
D225,melanocytic naevi of trunk
Z270,need for immunisation against cholera with typhoid-paratyphoid [cholera + tab]
B768,other hookworm diseases
Q181,preauricular sinus and cyst
K929,"disease of digestive system, unspecified"
K928,other specified diseases of digestive system
O088,other complications following abortion and ectopic and molar pregnancy
M6511,"other infective (teno)synovitis, shoulder region"
S529,"fracture of forearm, part unspecified"
S142,injury of nerve root of cervical spine
E839,"disorder of mineral metabolism, unspecified"
I958,other hypotension
P0732,"other preterm infant, 32 or more completed weeks but less than 37 completed weeks"
M0739,"other psoriatic arthropathies, site unspecified (l40.5+)"
G4091,"epilepsy, unspecified, with intractable epilepsy"
M772,periarthritis of wrist
O2683,neuralgia in pregnancy
I318,other specified diseases of pericardium
M4729,"other spondylosis with radiculopathy, site unspecified"
S9181,open wound (of any part of ankle and foot) communicating with a fracture
K870,disorders of gallbladder and biliary tract in diseases classified elsewhere
M0680,"other specified rheumatoid arthritis, multiple sites"
D898,"other specified disorders involving the immune mechanism, not elsewhere classified"
M2560,"stiffness of joint, not elsewhere classified, multiple sites"
A151,"tuberculosis of lung, confirmed by culture only"
K140,glossitis
M961,"postlaminectomy syndrome, not elsewhere classified"
M300,polyarteritis nodosa
M6517,"other infective (teno)synovitis, ankle and foot"
T040,crushing injuries involving head with neck
D141,benign neoplasm of larynx
M6240,"contracture of muscle, multiple sites"
R031,nonspecific low blood-pressure reading
S210,open wound of breast
I509,"heart failure, unspecified"
D728,other specified disorders of white blood cells
T733,exhaustion due to excessive exertion
M7240,"pseudosarcomatous fibromatosis, multiple sites"
O620,primary inadequate contractions
H908,"mixed conductive and sensorineural hearing loss, unspecified"
R008,other and unspecified abnormalities of heart beat
J330,polyp of nasal cavity
M6262,"muscle strain, upper arm"
A379,"whooping cough, unspecified"
M7907,"rheumatism, unspecified, ankle and foot"
M6089,"other myositis, site unspecified"
T700,otitic barotrauma
M6500,"abscess of tendon sheath, multiple sites"
N028,"recurrent and persistent haematuria, other"
M6518,"other infective (teno)synovitis, other site"
T1303,"insect bite of lower limb, level unspecified"
D170,"benign lipomatous neoplasm of skin and subcutaneous tissue of head, face and neck"
O624,"hypertonic, incoordinate, and prolonged uterine contractions"
E108,type 1 diabetes mellitus with unspecified complication
M4696,"unspecified inflammatory spondylopathy, lumbar region"
M1392,"arthritis, unspecified, upper arm"
M7904,"rheumatism, unspecified, hand"
O9210,"cracked nipple associated with childbirth, without mention of attachment difficulty"
M8590,"unspecified disorder of bone density and structure, multiple sites"
M6263,"muscle strain, forearm"
H011,noninfectious dermatoses of eyelid
S3203,"fracture of lumbar vertebra, l3 level"
M8416,"nonunion of fracture [pseudarthrosis], lower leg"
N803,endometriosis of pelvic peritoneum
A060,acute amoebic dysentery
N893,"dysplasia of vagina, unspecified"
V796,unspecified bus occupant injured in collision with other and unspecified motor vehicles in traffic accident
G958,other specified diseases of spinal cord
A049,"bacterial intestinal infection, unspecified"
T033,"dislocations, sprains and strains involving multiple regions of lower limb(s)"
M7900,"rheumatism, unspecified, multiple sites"
E249,"cushing's syndrome, unspecified"
I889,"nonspecific lymphadenitis, unspecified"
I139,"hypertensive heart and renal disease, unspecified"
N872,"severe cervical dysplasia, not elsewhere classified"
M0160,"arthritis in mycoses, multiple sites (b35-b49+)"
L270,generalised skin eruption due to drugs and medicaments
H958,other postprocedural disorders of ear and mastoid process
G619,"inflammatory polyneuropathy, unspecified"
M0800,"juvenile rheumatoid arthritis, multiple sites"
N899,"noninflammatory disorder of vagina, unspecified"
N368,other specified disorders of urethra
M7388,"other soft tissue disorders in diseases classified elsewhere, other site"
M8947,"other hypertrophic osteoarthropathy, ankle and foot"
I308,other forms of acute pericarditis
L609,"nail disorder, unspecified"
T0903,"insect bite of trunk, level unspecified"
M4785,"other spondylosis, thoracolumbar region"
R162,"hepatomegaly with splenomegaly, not elsewhere classified"
M2324,derangement of anterior horn of lateral meniscus due to old tear or injury
B199,unspecified viral hepatitis without hepatic coma
M4303,"spondylolysis, cervicothoracic region"
M1091,"gout, unspecified, shoulder region"
A800,"acute paralytic poliomyelitis, vaccine-associated"
I846,residual haemorrhoidal skin tags
M7972,"fibromyalgia, upper arm"
M7978,"fibromyalgia, other site"
E613,manganese deficiency
M4640,"unspecified discitis, multiple sites in spine"
M6735,"transient synovitis, pelvic region and thigh"
S310,open wound of lower back and pelvis
M0600,"seronegative rheumatoid arthritis, multiple sites"
G4080,"other epilepsy, without mention of intractable eilepsy"
E1162,type 2 diabetes mellitus with specified skin and subcutaneous tissue complication
S2232,"fracture of one rib, other than first rib"
G934,"encephalopathy, unspecified"
G724,"inflammatory myopathy, not elsewhere classified"
I7020,"atherosclerosis of arteries of extremities, unspecified"
